Episode 1: reward=-583.41  mean=-583.41
Episode 2: reward=-552.14  mean=-567.77
Episode 3: reward=-592.83  mean=-576.12
Episode 4: reward=-424.68  mean=-538.26
Episode 5: reward=-503.98  mean=-531.41
Episode 6: reward=-476.53  mean=-522.26
Episode 7: reward=-434.34  mean=-509.70
Episode 8: reward=-436.32  mean=-500.53
Episode 9: reward=-473.77  mean=-497.55
Episode 10: reward=-343.15  mean=-482.11
Episode 11: reward=-525.62  mean=-486.07
Episode 12: reward=-341.35  mean=-474.01
Episode 13: reward=-224.11  mean=-454.79
Episode 14: reward=-324.45  mean=-445.48
Episode 15: reward=-383.54  mean=-441.35
Episode 16: reward=-366.68  mean=-436.68
Episode 17: reward=-359.80  mean=-432.16
Episode 18: reward=-241.27  mean=-421.55
Episode 19: reward=-231.41  mean=-411.55
Episode 20: reward=-86.73  mean=-395.30
Episode 21: reward=-179.08  mean=-385.01
Episode 22: reward=-73.10  mean=-370.83
Episode 23: reward=-65.68  mean=-357.56
Episode 24: reward=-86.53  mean=-346.27
Episode 25: reward=-96.24  mean=-336.27
Episode 26: reward=-67.73  mean=-325.94
Episode 27: reward=-52.23  mean=-315.80
Episode 28: reward=-423.68  mean=-319.66
Episode 29: reward=-60.14  mean=-310.71
Episode 30: reward=-106.56  mean=-303.90
Episode 31: reward=-8.18  mean=-294.36
Episode 32: reward=-77.45  mean=-287.58
Episode 33: reward=-53.29  mean=-280.48
Episode 34: reward=-100.23  mean=-275.18
Episode 35: reward=13.42  mean=-266.94
Episode 36: reward=-107.61  mean=-262.51
Episode 37: reward=-86.51  mean=-257.75
Episode 38: reward=34.11  mean=-250.07
Episode 39: reward=-124.04  mean=-246.84
Episode 40: reward=-1189.51  mean=-270.41
Episode 41: reward=19.84  mean=-263.33
Episode 42: reward=-1104.79  mean=-283.36
Episode 43: reward=-1955.81  mean=-322.26
Episode 44: reward=-172.06  mean=-318.84
Episode 45: reward=-480.33  mean=-322.43
Episode 46: reward=20.48  mean=-314.98
Episode 47: reward=-106.21  mean=-310.54
Episode 48: reward=25.38  mean=-303.54
Episode 49: reward=21.07  mean=-296.91
Episode 50: reward=-31.41  mean=-291.60
Episode 51: reward=31.80  mean=-285.26
Episode 52: reward=23.34  mean=-279.33
Episode 53: reward=-40.84  mean=-274.83
Episode 54: reward=-22.30  mean=-270.15
Episode 55: reward=45.25  mean=-264.42
Episode 56: reward=74.48  mean=-258.36
Episode 57: reward=82.57  mean=-252.38
Episode 58: reward=-301.77  mean=-253.24
Episode 59: reward=-1354.89  mean=-271.91
Episode 60: reward=-7.89  mean=-267.51
Episode 61: reward=-30.25  mean=-263.62
Episode 62: reward=-899.40  mean=-273.87
Episode 63: reward=72.11  mean=-268.38
Episode 64: reward=24.95  mean=-263.80
Episode 65: reward=33.51  mean=-259.22
Episode 66: reward=57.76  mean=-254.42
Episode 67: reward=-342.00  mean=-255.73
Episode 68: reward=79.14  mean=-250.80
Episode 69: reward=-1381.98  mean=-267.20
Episode 70: reward=-1464.28  mean=-284.30
Episode 71: reward=35.21  mean=-279.80
Episode 72: reward=9.44  mean=-275.78
Episode 73: reward=61.30  mean=-271.16
Episode 74: reward=50.54  mean=-266.82
Episode 75: reward=59.00  mean=-262.47
Episode 76: reward=-53.58  mean=-259.72
Episode 77: reward=-27.41  mean=-256.71
Episode 78: reward=-47.34  mean=-254.02
Episode 79: reward=-1.15  mean=-250.82
Episode 80: reward=-134.45  mean=-249.37
Episode 81: reward=-630.02  mean=-254.07
Episode 82: reward=17.68  mean=-250.75
Episode 83: reward=-286.30  mean=-251.18
Episode 84: reward=-507.46  mean=-254.23
Episode 85: reward=-21.33  mean=-251.49
Episode 86: reward=-972.21  mean=-259.87
Episode 87: reward=30.91  mean=-256.53
Episode 88: reward=-19.55  mean=-253.84
Episode 89: reward=-58.36  mean=-251.64
Episode 90: reward=-132.72  mean=-250.32
Episode 91: reward=-880.54  mean=-257.24
Episode 92: reward=-869.92  mean=-263.90
Episode 93: reward=-258.49  mean=-263.84
Episode 94: reward=-1185.09  mean=-273.65
Episode 95: reward=-580.64  mean=-276.88
Episode 96: reward=69.54  mean=-273.27
Episode 97: reward=-1047.06  mean=-281.25
Episode 98: reward=-64.51  mean=-279.03
Episode 99: reward=87.08  mean=-275.34
Episode 100: reward=95.20  mean=-271.63
Episode 101: reward=31.97  mean=-265.48
Episode 102: reward=44.23  mean=-259.51
Episode 103: reward=37.44  mean=-253.21
Episode 104: reward=100.22  mean=-247.96
Episode 105: reward=119.66  mean=-241.73
Episode 106: reward=62.54  mean=-236.33
Episode 107: reward=-2239.11  mean=-254.38
Episode 108: reward=105.80  mean=-248.96
Episode 109: reward=58.65  mean=-243.64
Episode 110: reward=-73.13  mean=-240.94
Episode 111: reward=122.16  mean=-234.46
Episode 112: reward=-254.47  mean=-233.59
Episode 113: reward=-29.07  mean=-231.64
